Nafn,Númer,Greiningartími,Spátími,Villa,Úrkoma á klst. (mm),Úrkomuklukkustundir (klst.),Hiti (°C),Vindhraði (m/s),Vindátt,Veður,Skýjahula (%),Vindgráður
Reykjavík,1,2020-08-18 12:00:00,2020-08-23 00:00:00,,0,0 / 3klst.,9,0,Logn,Léttskýjað,10,0
Reykjavík,1,2020-08-18 12:00:00,2020-08-23 03:00:00,,0,0 / 3klst.,6,2,SA,Skýjað,80,137
Reykjavík,1,2020-08-18 12:00:00,2020-08-23 06:00:00,,0,0 / 3klst.,8,2,SSA,Skýjað,90,160
Reykjavík,1,2020-08-18 12:00:00,2020-08-23 09:00:00,,0,0 / 3klst.,11,2,SA,Skýjað,30,137
Reykjavík,1,2020-08-18 12:00:00,2020-08-23 12:00:00,,0,1 / 3klst.,13,1,S,Skýjað,100,183
Reykjavík,1,2020-08-18 12:00:00,2020-08-23 15:00:00,,0,0 / 3klst.,13,2,SSA,Lítils háttar rigning,80,160
Reykjavík,1,2020-08-18 12:00:00,2020-08-23 18:00:00,,0,4 / 3klst.,12,3,SA,Skúrir,70,137
Reykjavík,1,2020-08-18 12:00:00,2020-08-23 21:00:00,,0,0 / 3klst.,11,2,SSA,Skýjað,70,160
Reykjavík,1,2020-08-18 12:00:00,2020-08-24 00:00:00,,0,3 / 3klst.,11,2,A,Lítils háttar rigning,100,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-24 03:00:00,,0,2 / 3klst.,11,3,ASA,Alskýjað,100,114
Reykjavík,1,2020-08-18 12:00:00,2020-08-24 06:00:00,,0,1 / 3klst.,11,3,ASA,Lítils háttar rigning,100,114
Reykjavík,1,2020-08-18 12:00:00,2020-08-24 09:00:00,,0,3 / 3klst.,11,3,A,Lítils háttar rigning,100,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-24 12:00:00,,0,5 / 3klst.,11,4,ASA,Lítils háttar rigning,100,114
Reykjavík,1,2020-08-18 12:00:00,2020-08-24 18:00:00,,0,8 / 6klst.,12,2,A,Lítils háttar rigning,100,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-25 00:00:00,,0,3 / 6klst.,10,3,A,Alskýjað,70,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-25 06:00:00,,0,3 / 6klst.,9,2,A,Alskýjað,100,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-25 12:00:00,,0,1 / 6klst.,12,2,NV,Skýjað,70,321
Reykjavík,1,2020-08-18 12:00:00,2020-08-25 18:00:00,,0,0 / 6klst.,12,3,VNV,Skýjað,50,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-26 00:00:00,,0,0 / 6klst.,10,3,NA,Léttskýjað,40,45
Reykjavík,1,2020-08-18 12:00:00,2020-08-26 06:00:00,,0,0 / 6klst.,7,2,NA,Skýjað,60,45
Reykjavík,1,2020-08-18 12:00:00,2020-08-26 12:00:00,,0,0 / 6klst.,13,1,NNV,Léttskýjað,50,344
Reykjavík,1,2020-08-18 12:00:00,2020-08-26 18:00:00,,0,2 / 6klst.,13,3,NNV,Léttskýjað,20,344
Reykjavík,1,2020-08-18 12:00:00,2020-08-27 00:00:00,,0,0 / 6klst.,8,1,N,Heiðskírt,0,360
Reykjavík,1,2020-08-18 12:00:00,2020-08-27 06:00:00,,0,0 / 6klst.,6,2,NNV,Heiðskírt,20,344
Reykjavík,1,2020-08-18 12:00:00,2020-08-27 12:00:00,,0,0 / 6klst.,10,3,VNV,Léttskýjað,0,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-27 18:00:00,,0,0 / 6klst.,10,4,VNV,Skýjað,100,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-28 00:00:00,,0,0 / 6klst.,8,2,VSV,Alskýjað,100,252
Reykjavík,1,2020-08-18 12:00:00,2020-08-28 06:00:00,,0,2 / 6klst.,8,2,SV,Alskýjað,100,229
Reykjavík,1,2020-08-18 12:00:00,2020-08-28 12:00:00,,0,3 / 6klst.,10,1,SV,Alskýjað,100,229
Akureyri,422,2020-08-18 12:00:00,2020-08-18 13:00:00,,0,0 / 1klst.,10,3,NNV,Alskýjað,100,344
Akureyri,422,2020-08-18 12:00:00,2020-08-18 14:00:00,,0,0 / 1klst.,10,3,NNV,Alskýjað,100,344
Akureyri,422,2020-08-18 12:00:00,2020-08-18 15:00:00,,0,0 / 1klst.,9,3,NNV,Alskýjað,100,344
Akureyri,422,2020-08-18 12:00:00,2020-08-18 16:00:00,,0,0 / 1klst.,10,4,NNV,Alskýjað,100,344
Akureyri,422,2020-08-18 12:00:00,2020-08-18 17:00:00,,0,0 / 1klst.,9,3,NNV,Alskýjað,100,344
Akureyri,422,2020-08-18 12:00:00,2020-08-18 18:00:00,,0,0 / 1klst.,10,1,NNV,Alskýjað,100,344
Akureyri,422,2020-08-18 12:00:00,2020-08-18 19:00:00,,0,0 / 1klst.,10,0,Logn,Alskýjað,100,0
Akureyri,422,2020-08-18 12:00:00,2020-08-18 20:00:00,,0,0 / 1klst.,9,1,SA,Alskýjað,100,137
Akureyri,422,2020-08-18 12:00:00,2020-08-18 21:00:00,,0,0 / 1klst.,9,2,SSA,Alskýjað,100,160
Akureyri,422,2020-08-18 12:00:00,2020-08-18 22:00:00,,0,0 / 1klst.,9,3,SSA,Alskýjað,100,160
Akureyri,422,2020-08-18 12:00:00,2020-08-18 23:00:00,,0,0 / 1klst.,9,2,SSA,Alskýjað,100,160
Akureyri,422,2020-08-18 12:00:00,2020-08-19 00:00:00,,0,0 / 1klst.,8,2,S,Skýjað,90,183
Akureyri,422,2020-08-18 12:00:00,2020-08-19 01:00:00,,0,0 / 1klst.,7,1,SSA,Léttskýjað,10,160
Akureyri,422,2020-08-18 12:00:00,2020-08-19 02:00:00,,0,0 / 1klst.,6,3,S,Skýjað,80,183
Akureyri,422,2020-08-18 12:00:00,2020-08-19 03:00:00,,0,0 / 1klst.,6,4,S,Alskýjað,100,183
Akureyri,422,2020-08-18 12:00:00,2020-08-19 04:00:00,,0,0 / 1klst.,5,4,S,Alskýjað,70,183
Akureyri,422,2020-08-18 12:00:00,2020-08-19 05:00:00,,0,0 / 1klst.,5,4,S,Alskýjað,100,183
Akureyri,422,2020-08-18 12:00:00,2020-08-19 06:00:00,,0,0 / 1klst.,5,4,S,Alskýjað,100,183
Akureyri,422,2020-08-18 12:00:00,2020-08-19 07:00:00,,0,0 / 1klst.,6,3,S,Alskýjað,100,183
Akureyri,422,2020-08-18 12:00:00,2020-08-19 08:00:00,,0,0 / 1klst.,7,3,SSA,Alskýjað,100,160
Akureyri,422,2020-08-18 12:00:00,2020-08-19 09:00:00,,0,0 / 1klst.,8,3,SA,Alskýjað,100,137
Akureyri,422,2020-08-18 12:00:00,2020-08-19 10:00:00,,0,0 / 1klst.,9,4,SA,Skýjað,80,137
Akureyri,422,2020-08-18 12:00:00,2020-08-19 11:00:00,,0,0 / 1klst.,10,4,ASA,Skýjað,40,114
Akureyri,422,2020-08-18 12:00:00,2020-08-19 12:00:00,,0,0 / 1klst.,10,4,ASA,Alskýjað,100,114
Akureyri,422,2020-08-18 12:00:00,2020-08-19 13:00:00,,0,0 / 1klst.,10,4,ASA,Alskýjað,100,114
Akureyri,422,2020-08-18 12:00:00,2020-08-19 14:00:00,,0,0 / 1klst.,10,4,ASA,Alskýjað,100,114
Akureyri,422,2020-08-18 12:00:00,2020-08-19 15:00:00,,0,0 / 1klst.,11,3,ASA,Skýjað,90,114
Akureyri,422,2020-08-18 12:00:00,2020-08-19 16:00:00,,0,0 / 1klst.,12,3,ASA,Léttskýjað,0,114
Akureyri,422,2020-08-18 12:00:00,2020-08-19 17:00:00,,0,0 / 1klst.,12,3,ASA,Heiðskírt,0,114
Akureyri,422,2020-08-18 12:00:00,2020-08-19 18:00:00,,0,0 / 1klst.,12,3,ASA,Heiðskírt,0,114
Akureyri,422,2020-08-18 12:00:00,2020-08-19 19:00:00,,0,0 / 1klst.,11,3,ASA,Heiðskírt,10,114
Akureyri,422,2020-08-18 12:00:00,2020-08-19 20:00:00,,0,0 / 1klst.,10,2,SA,Heiðskírt,0,137
Akureyri,422,2020-08-18 12:00:00,2020-08-19 21:00:00,,0,0 / 1klst.,9,1,V,Heiðskírt,0,275
Akureyri,422,2020-08-18 12:00:00,2020-08-19 22:00:00,,0,0 / 1klst.,8,2,V,Heiðskírt,0,275
Akureyri,422,2020-08-18 12:00:00,2020-08-19 23:00:00,,0,0 / 1klst.,7,2,VSV,Heiðskírt,0,252
Akureyri,422,2020-08-18 12:00:00,2020-08-20 00:00:00,,0,0 / 1klst.,6,3,SSV,Heiðskírt,0,206
Akureyri,422,2020-08-18 12:00:00,2020-08-20 01:00:00,,0,0 / 1klst.,6,3,S,Heiðskírt,0,183
Akureyri,422,2020-08-18 12:00:00,2020-08-20 02:00:00,,0,0 / 1klst.,5,2,S,Heiðskírt,0,183
Akureyri,422,2020-08-18 12:00:00,2020-08-20 03:00:00,,0,0 / 1klst.,5,3,S,Heiðskírt,0,183
Akureyri,422,2020-08-18 12:00:00,2020-08-20 04:00:00,,0,0 / 1klst.,5,3,S,Heiðskírt,0,183
Akureyri,422,2020-08-18 12:00:00,2020-08-20 05:00:00,,0,0 / 1klst.,4,3,S,Heiðskírt,0,183
Akureyri,422,2020-08-18 12:00:00,2020-08-20 06:00:00,,0,0 / 1klst.,4,4,SSV,Heiðskírt,0,206
Akureyri,422,2020-08-18 12:00:00,2020-08-20 07:00:00,,0,0 / 1klst.,5,3,SSV,Heiðskírt,0,206
Akureyri,422,2020-08-18 12:00:00,2020-08-20 08:00:00,,0,0 / 1klst.,7,3,S,Heiðskírt,0,183
Akureyri,422,2020-08-18 12:00:00,2020-08-20 09:00:00,,0,0 / 1klst.,8,3,S,Heiðskírt,0,183
Akureyri,422,2020-08-18 12:00:00,2020-08-20 10:00:00,,0,0 / 1klst.,9,3,SA,Heiðskírt,10,137
Akureyri,422,2020-08-18 12:00:00,2020-08-20 11:00:00,,0,0 / 1klst.,10,3,ASA,Léttskýjað,20,114
Akureyri,422,2020-08-18 12:00:00,2020-08-20 12:00:00,,0,0 / 1klst.,11,3,ASA,Léttskýjað,30,114
Akureyri,422,2020-08-18 12:00:00,2020-08-20 13:00:00,,0,0 / 1klst.,11,3,ASA,Heiðskírt,10,114
Akureyri,422,2020-08-18 12:00:00,2020-08-20 14:00:00,,0,0 / 1klst.,12,3,ASA,Heiðskírt,10,114
